# seconds_into_experiment	num_bbs_total	new_bbs_since_last
0	0	
59	437	0x80001ac 0x80001c2 0x80001c8 0x8000320 0x800032e 0x8000340 0x8000350 0x8000354 0x8000370 0x8000388 0x80003a4 0x80003c2 0x80003ca 0x80003d2 0x80003d6 0x80003d8 0x80003fa 0x8000400 0x8000406 0x8000410 0x8001e68 0x8001e70 0x8003008 0x800301c 0x800302c 0x800375c 0x8003766 0x8003774 0x800377c 0x800380a 0x8003824 0x800385c 0x8003862 0x8003864 0x8003878 0x800387e 0x8003884 0x8003890 0x80038aa 0x80038b2 0x80038ba 0x80038cc 0x80038e0 0x80038ea 0x80038f2 0x80038fc 0x8003902 0x8003908 0x8003910 0x800391e 0x800392c 0x8003944 0x8003950 0x8003956 0x800398e 0x8003994 0x80039a8 0x80039b4 0x80039da 0x80039ee 0x80039f4 0x80039fa 0x8003ff0 0x8004008 0x800400e 0x8004016 0x8004098 0x800409e 0x80040b8 0x80040be 0x8004210 0x800421a 0x8004224 0x800422a 0x8004234 0x800423a 0x8004244 0x800424a 0x8004254 0x800425a 0x8004bd2 0x8004bde 0x8004be8 0x8004bf0 0x8004c00 0x8004cac 0x8004d7a 0x8004d86 0x8004da4 0x8004dc6 0x8004dcc 0x800515c 0x8005166 0x800516c 0x8005172 0x8005178 0x8005254 0x8005284 0x80052b4 0x8005348 0x8005356 0x8005366 0x800536a 0x80053e2 0x80053e6 0x80056cc 0x8005708 0x8005716 0x8005720 0x800572e 0x800578c 0x8005794 0x80057ac 0x80057b0 0x8005958 0x800596c 0x800599c 0x80059a2 0x80059a6 0x8005a08 0x8005a20 0x8005a3c 0x8005b90 0x8005ba4 0x8005bd0 0x8005be4 0x8005bf6 0x8005bfa 0x8005c0c 0x8005c1a 0x8005ca0 0x8005cb8 0x8005cc4 0x8005cd0 0x8005cde 0x8005cea 0x8005cf6 0x8005d00 0x8005d0c 0x8005d10 0x8005d1c 0x8005d28 0x8005d3a 0x8005d3e 0x8005d4a 0x8005d4e 0x8005d5a 0x8005d66 0x8005d96 0x8005d98 0x8005e7a 0x8005eec 0x8005ff0 0x8005ffa 0x8006008 0x8006010 0x800601a 0x8006022 0x8006026 0x8006032 0x800603e 0x80060d0 0x80060d8 0x80060dc 0x80060e8 0x80060f4 0x8006126 0x800612a 0x800612c 0x8006140 0x800615c 0x8006172 0x8006176 0x8006184 0x800619c 0x80061a4 0x80061ba 0x80061d0 0x8006202 0x800620a 0x800620c 0x8006210 0x800621c 0x8006228 0x8006248 0x8006254 0x800626c 0x8006274 0x8006280 0x8006294 0x80062aa 0x80062dc 0x80062e4 0x80062e6 0x80062ea 0x80062f6 0x8006302 0x8006320 0x8006336 0x800633a 0x8006346 0x8006364 0x8006382 0x800639a 0x80063aa 0x80063ac 0x80064a0 0x80064c2 0x80064c6 0x80064ca 0x80064d0 0x80064d6 0x800650c 0x8006546 0x800657e 0x80065b8 0x80065be 0x80065d8 0x80065e2 0x8006630 0x800663a 0x8006900 0x8006948 0x8006ab0 0x8006ac4 0x8006adc 0x8006af0 0x8006b50 0x8006b7a 0x8006b82 0x8006c48 0x8006c5e 0x8006c70 0x8006c8c 0x8006c9a 0x8006ca2 0x8006cb8 0x8006cc4 0x8006cd2 0x8006d1e 0x8006d2c 0x8006e34 0x8006e50 0x8006e6e 0x8006e76 0x8006e7e 0x8006ed6 0x8006f0e 0x8006f16 0x8006f1e 0x8006f26 0x8006f80 0x8006fba 0x800707e 0x80070ba 0x80070de 0x8007112 0x800711e 0x800712a 0x8007130 0x8007138 0x80072e2 0x8007300 0x80073aa 0x80073dc 0x80073e0 0x80073e2 0x800742c 0x8007432 0x8007436 0x800745a 0x8007460 0x8007464 0x8007474 0x8007486 0x800748c 0x80074a2 0x80074ba 0x80074ec 0x80074f4 0x80074f8 0x80074fc 0x8007500 0x8007504 0x8007508 0x800750e 0x8007518 0x8007668 0x80076f2 0x80076fc 0x8007708 0x800770e 0x8007718 0x800771c 0x8007720 0x8007728 0x8007734 0x800779c 0x80077a4 0x80077d0 0x80077d6 0x80077dc 0x80077ec 0x800781c 0x8007826 0x8007830 0x800783c 0x8007848 0x8007854 0x8007860 0x800788c 0x800789c 0x80078b0 0x80078b6 0x80078c8 0x80078da 0x80078e2 0x80078f2 0x80078fc 0x8007904 0x8007910 0x800792e 0x8007934 0x8007940 0x8007948 0x800794a 0x8007958 0x8007966 0x8007978 0x80079a8 0x80079b8 0x80079c6 0x80079dc 0x80079e4 0x80079f0 0x8007a08 0x8007a1c 0x8007a3c 0x8007a4a 0x8007a54 0x8007a58 0x8007a68 0x8007a7a 0x8007af6 0x8007b5a 0x8007c14 0x8007c2c 0x8007c38 0x8007c48 0x8007c54 0x8007c60 0x8007c70 0x8007c7c 0x8007c88 0x8007c98 0x8007ca0 0x8007cb0 0x8007d40 0x8007da0 0x8007da8 0x8007dac 0x8007db0 0x8007db4 0x8007dc4 0x8007dd0 0x8007e3c 0x8007e5a 0x8007e62 0x8007ec6 0x8007eec 0x8007f04 0x8007f0c 0x8007f90 0x8007f94 0x8007fb6 0x8007fce 0x800800c 0x8008014 0x8008098 0x800809c 0x80080be 0x80080d6 0x8008114 0x8008128 0x8008138 0x80081b6 0x80081dc 0x80081e8 0x80081fa 0x8008c78 0x8008c8e 0x8008caa 0x8008cd0 0x8008cf0 0x8008cf6 0x8008d0a 0x8008e88 0x8008ea0 0x8008eb0 0x8008ede 0x8009138 0x8009154 0x80091a0 0x80091a6 0x80091c4 0x80091cc 0x8009214 0x800921e 0x8009228 0x8009260 0x8009268 0x8009270 0x800927a 0x800927e 0x8009284 0x800928a 0x800928e 0x8009292 0x800b3b8 0x800b3d4 0x800b3de 0x800b3e6 0x800b3ee 0x800b3f2 0x800b408 0x800b428 0x800b42c 0x800b43a 0x800b45a 0x800b46e 0x800b472 0x800b47c 0x800b498 0x800b49c 0x800b4a4 0x800b4ae 0x800b5c4
148	767	0x8000200 0x8000218 0x8000224 0x8000232 0x800023c 0x8000244 0x8000248 0x800041c 0x800043a 0x8000446 0x8000452 0x800045e 0x800047a 0x8000480 0x8000486 0x80004a8 0x80004dc 0x80004ea 0x80004fc 0x800050e 0x800051a 0x800052c 0x800053e 0x800054c 0x800055a 0x8000568 0x8000576 0x8000584 0x80005e4 0x80005f6 0x80005fc 0x800062c 0x800063a 0x8000d56 0x8000d68 0x8000d70 0x8000d78 0x80018bc 0x80018d4 0x80018f6 0x800190e 0x8001916 0x8001948 0x80019b4 0x80019be 0x80019d4 0x80019e0 0x8001e74 0x8001e78 0x8001e82 0x8001e8e 0x8001e96 0x8001e9a 0x8001e9e 0x8001ea2 0x8001ea6 0x8001eaa 0x8001eae 0x8001eb2 0x8001eb6 0x8001ed0 0x8001ede 0x8001eec 0x8001efa 0x8001f00 0x8001f0c 0x8001f10 0x8001f14 0x800267c 0x800268e 0x80026a2 0x80026a6 0x80026c4 0x80028d2 0x80028e8 0x80028fa 0x8002908 0x8002922 0x8002f84 0x8002f9e 0x8002fb8 0x8002fc0 0x8002fca 0x8003684 0x8003784 0x80037a0 0x80037aa 0x80037ae 0x80037b0 0x80037b6 0x80037c2 0x80037ca 0x80037ee 0x8003802 0x800381c 0x8003822 0x8003996 0x80039c0 0x8003a14 0x8003a34 0x8003a3c 0x8003a40 0x8003aa8 0x8003aba 0x8003abe 0x8003af6 0x8003b04 0x8003b16 0x8003b7c 0x8003b86 0x8003b8e 0x8003b98 0x8003b9c 0x8003bac 0x8003bb6 0x8003bba 0x8003bca 0x8003bd4 0x8003bd8 0x8003be8 0x8003bf2 0x8003bf6 0x8003c04 0x8003c1a 0x8003c28 0x8003ede 0x8003ee4 0x8003ef8 0x8003f00 0x8003f06 0x8003f0c 0x8003f10 0x8003f18 0x8003f20 0x8003f32 0x8003f3a 0x8003f42 0x8003f46 0x8003f48 0x8003f50 0x8003f5e 0x8003f64 0x8003f6a 0x8003f70 0x8003f78 0x8003f8c 0x8003f92 0x8003f98 0x8003fb2 0x8003fc6 0x8003fca 0x8003fd4 0x8003fd8 0x8004058 0x800405e 0x80040a8 0x80040ae 0x8004160 0x8004170 0x8004178 0x800419c 0x80041a2 0x80041bc 0x80041c2 0x80041e8 0x80041f2 0x8004264 0x800426a 0x8004274 0x800427a 0x8004284 0x800428a 0x8004294 0x800429a 0x80042a6 0x80042ac 0x80042b8 0x80042c0 0x80042c6 0x80042d0 0x80042d6 0x80042e0 0x80042e6 0x80042f2 0x80042f8 0x8004304 0x800430a 0x8004324 0x800432a 0x8004344 0x800434a 0x8004364 0x800436a 0x8004384 0x800438a 0x80043a4 0x80043aa 0x80043b4 0x80043ba 0x80043c4 0x80043ca 0x80043d4 0x80043da 0x80043e4 0x80043ea 0x80043f4 0x80043fa 0x8004404 0x800440a 0x8004414 0x800441a 0x8004424 0x800442a 0x80048f0 0x800490c 0x8004934 0x800493a 0x800496c 0x8004972 0x8004978 0x800498e 0x800499c 0x80049f4 0x8004a08 0x8004a0e 0x8004a14 0x8004a1a 0x8004a20 0x8004a26 0x8004aa4 0x8004ad0 0x8004ada 0x8004afe 0x8004b04 0x8004b0a 0x8004b10 0x8004b16 0x8004b1c 0x8004d24 0x8004d52 0x8004d70 0x800517c 0x8005182 0x800518e 0x800519a 0x80051a0 0x80051a6 0x80051bc 0x80051e0 0x80051ee 0x80051f8 0x8005200 0x80052c0 0x80052cc 0x80052e2 0x80052f8 0x8005738 0x8005740 0x8005778 0x80057bc 0x80057ca 0x80057d2 0x80057e4 0x80057f2 0x80057f6 0x80057fa 0x8005804 0x800581a 0x8005824 0x800583c 0x8005848 0x800588c 0x80058a8 0x80058bc 0x80058c0 0x80058c4 0x80058c6 0x80058ca 0x80058ce 0x80058d0 0x80058e2 0x80058f4 0x8005906 0x800590a 0x800590c 0x8005912 0x80074aa 0x80074b4 0x8007b88 0x8007bbc 0x8007bc2 0x8007df0 0x8007e1c 0x800821e 0x8008228 0x800822e 0x8008232 0x800823e 0x8008244 0x8008248 0x800824a 0x8008c74 0x8008d64 0x8008d74 0x8008d7a 0x8008d84 0x8008d8e 0x8008d94 0x8008de0 0x8008eee 0x8008f80 0x8008f90 0x8008f9c 0x8008ff0 0x8009008 0x8009018 0x8009074 0x800907a 0x80090dc 0x80090f8 0x8009108 0x8009114 0x800911c 0x800923e 0x800b40e 0x800b414 0x800b420 0x800b440 0x800b48c 0x800b490
149	769	0x800495c 0x8004962
150	769	
151	769	
152	769	
153	769	
154	769	
155	769	
156	769	
157	769	
158	769	
159	769	
160	769	
161	772	0x8003f3c 0x8004000 0x8004006
162	772	
163	772	
164	772	
165	772	
166	772	
167	772	
168	772	
169	772	
170	772	
171	772	
172	772	
173	772	
174	773	0x8001ef2
175	773	
176	773	
177	773	
178	773	
181	773	
184	773	
185	773	
186	773	
188	773	
189	773	
190	773	
191	773	
192	773	
193	773	
194	773	
195	773	
196	773	
197	773	
198	785	0x8001920 0x8001936 0x800193c 0x80026d0 0x8002716 0x800272a 0x8002798 0x80027be 0x80027c4 0x8002890 0x8004050 0x8004056
199	785	
200	785	
201	785	
202	785	
203	785	
204	785	
205	785	
206	785	
207	785	
208	785	
209	785	
210	785	
211	785	
212	785	
213	785	
214	785	
215	785	
216	785	
217	785	
219	785	
220	785	
221	785	
222	785	
224	785	
225	785	
227	785	
230	785	
231	785	
232	785	
233	785	
234	785	
235	785	
236	785	
237	785	
238	785	
239	785	
240	785	
242	785	
245	785	
246	785	
247	785	
249	785	
250	785	
252	785	
253	785	
255	785	
260	785	
270	785	
271	785	
272	785	
273	785	
274	785	
275	785	
276	785	
279	785	
283	785	
286	785	
287	785	
288	785	
289	785	
290	785	
291	785	
292	785	
293	785	
294	785	
295	785	
296	785	
297	785	
298	785	
299	785	
300	785	
301	785	
302	785	
303	785	
304	785	
305	785	
306	785	
307	785	
308	785	
309	785	
310	785	
311	785	
312	785	
313	785	
314	785	
315	785	
316	785	
317	785	
318	785	
319	785	
320	785	
321	785	
322	785	
324	785	
327	785	
328	785	
329	793	0x8001f02 0x8003a50 0x8003a5c 0x8003a96 0x8004b68 0x8004cd4 0x8004d00 0x8004d06
330	793	
331	793	
332	793	
333	793	
334	793	
335	793	
336	803	0x800045a 0x8000460 0x8003a66 0x8003a6c 0x8003a72 0x8003a90 0x8003a9c 0x8004b94 0x8004d16 0x8004d1c
337	803	
339	803	
340	803	
342	803	
343	803	
344	803	
346	803	
347	803	
348	803	
349	803	
351	803	
352	803	
354	803	
357	803	
358	803	
359	803	
360	803	
361	803	
362	803	
365	803	
368	803	
370	803	
373	803	
378	803	
379	803	
380	803	
381	803	
382	803	
383	803	
384	803	
385	803	
386	803	
387	803	
388	803	
389	803	
390	803	
391	803	
392	803	
393	803	
394	803	
395	803	
396	803	
397	803	
398	803	
399	803	
400	803	
401	803	
402	803	
403	803	
404	803	
405	803	
406	803	
407	803	
408	803	
409	803	
410	803	
411	803	
412	803	
413	803	
414	803	
415	803	
416	803	
417	803	
418	803	
419	803	
420	803	
421	803	
423	803	
424	803	
425	803	
426	803	
427	803	
428	803	
429	803	
430	803	
431	803	
